Data Source: https://coin.dance/volume/localbitcoins,,,,,,
Alphabetical,,,,,,
Country,Continent,Native Currency,FX Rate,USD Value,Percentage,Notes
🇦🇷 Argentina,South America,"244,273,785.00",0.036,"$8,793,856.26",0.14%,
🇦🇺 Australia,Australia,"254,692,234.00",0.73,"$185,925,330.82",2.94%,
🇧🇷 Brazil,South America,"114,069,866.00",0.26,"$29,658,165.16",0.47%,
🇨🇦 Canada,North America,"133,970,541.00",0.75,"$100,477,905.75",1.59%,
🇨🇱 Chile,South America,"6,969,942,308.00",0.0015,"$10,454,913.46",0.17%,
🇨🇳 China,Asia,"4,144,788,613.00",0.15,"$621,718,291.95",9.83%,
🇨🇴 Colombia,South America,"191,729,200,301.00",0.00034,"$65,187,928.10",1.03%,
🇭🇷 Croatia,Europe,"21,760,001.00",0.16,"$3,481,600.16",0.06%,
🇨🇿 Czech Republic,Europe,"95,110,449.00",0.045,"$4,279,970.21",0.07%,
🇩🇰 Denmark,Europe,"27,742,917.00",0.16,"$4,438,866.72",0.07%,
🇩🇴 Dominican Republic,North America,"220,130,582.00",0.02,"$4,402,611.64",0.07%,
🇭🇰 Hong Kong,Asia,"318,126,126.00",0.13,"$41,356,396.38",0.65%,
🇭🇺 Hungary,Europe,"309,925,632.00",0.0035,"$1,084,739.71",0.02%,
🇮🇳 India,Asia,"4,893,165,459.00",0.015,"$73,397,481.89",1.16%,
🇮🇩 Indonesia,Asia,"14,426,793,895.00",0.000071,"$1,024,302.37",0.02%,
🇮🇷 Iran,Asia,"715,034,240,814.00",0.000023,"$16,445,787.54",0.26%,
🇯🇵 Japan,Asia,"143,222,602.00",0.0091,"$1,303,325.68",0.02%,
🇰🇿 Kazakhstan,Asia,"1,000,699,429.00",0.0029,"$2,902,028.34",0.05%,
🇰🇪 Kenya,Africa,"2,515,677,431.00",0.0099,"$24,905,206.57",0.39%,
🇲🇾 Malaysia,Asia,"267,787,377.00",0.25,"$66,946,844.25",1.06%,
🇲🇽 Mexico,North America,"441,560,998.00",0.05,"$22,078,049.90",0.35%,
🇲🇦 Morocco,Africa,"57,774,438.00",0.1,"$5,777,443.80",0.09%,
🇳🇿 New Zealand,Australia,"79,156,607.00",0.68,"$53,826,492.76",0.85%,
🇳🇬 Nigeria,Africa,"91,982,161,142.00",0.0028,"$257,550,051.20",4.07%,
🇳🇴 Norway,Europe,"344,753,028.00",0.12,"$41,370,363.36",0.65%,
🇵🇰 Pakistan,Asia,"4,334,371,731.00",0.0082,"$35,541,848.19",0.56%,
